bank_id,narration,amount,value_date,utr
BNK-0047,NEFT/RZP26000048/Kaveri Electronics,48261.68,2026-09-07,UTR00000047
BNK-0039,NEFT/RZP26000039/PART2/Nimbus Traders,46251.4,2026-09-04,UTR00000039
BNK-0025,NEFT/RZP26000016/Sundaram Textiles,64319.91,2026-09-04,UTR00000025
BNK-0032,NEFT/RZP26000033/Prime Consulting LLP,36923.82,2026-09-12,UTR00000032
BNK-0048,NEFT/RZP26000049/Kaveri Electronics,57090.67,2026-08-14,UTR00000048
BNK-0045,NEFT/RZP26000046/Sundaram Textiles,50780.47,2026-08-06,UTR00000045
BNK-0021,NEFT/RZP26000022/Nimbus Traders,20853.65,2026-08-04,UTR00000021
BNK-0031,NEFT/RZP26000032/Sundaram Textiles,68733.5,2026-09-01,UTR00000031
BNK-0037,NEFT/RZP26000038/REFUND/Nimbus Traders,25075.96,2026-08-05,UTR00000037
BNK-0010,NEFT/RZP26000011/Orbit Foods,12298.76,2026-08-17,UTR00000010
BNK-0055,NEFT/RZP26000056/BlueDart Logistics,75680.72,2026-08-08,UTR00000055
BNK-0029,NEFT/RZP26000029/Acme Retail Pvt Ltd,6195.33,2026-08-16,UTR00000029
BNK-0027,NEFT/RZP26000027/Acme Retail Pvt Ltd,5910.19,2026-08-15,UTR00000027
BNK-0016,NEFT/RZP26000017/Orbit Foods,29244.83,2026-09-11,UTR00000016
BNK-0006,NEFT/RZP26000006/Sundaram Textiles,54155.67,2026-09-08,UTR00000006
BNK-0041,NEFT/RZP26000042/Vega Software Solutions,36244.13,2026-08-19,UTR00000041
BNK-0030,NEFT/RZP26000031/Vega Software Solutions,11680.35,2026-09-04,UTR00000030
BNK-0001,NEFT/RZP26000001/PART1/Kaveri Electronics,26982.48,2026-09-10,UTR00000001
BNK-0044,NEFT/RZP26000045/Nimbus Traders,81685.82,2026-08-04,UTR00000044
BNK-0040,NEFT/RZP26000040/Prime Consulting LLP,41173.11,2026-09-01,UTR00000040
BNK-0009,NEFT/RZP26000010/Vega Software Solutions,33930.9,2026-09-01,UTR00000009
BNK-0034,NEFT/RZP26000035/Nimbus Traders,62034.05,2026-08-25,UTR00000034
BNK-0019,NEFT/RZP26000020/Acme Retail Pvt Ltd,46077.53,2026-08-11,UTR00000019
BNK-0052,NEFT/RZP26000053/Vega Software Solutions,24581.43,2026-08-24,UTR00000052
BNK-0004,NEFT/RZP26000004/Kaveri Electronics,54215.34,2026-08-30,UTR00000004
BNK-0036,NEFT/RZP26000037/Vega Software Solutions,16006.61,2026-08-28,UTR00000036
BNK-0060,NEFT/RZP26000061/PART1/BlueDart Logistics,9996.18,2026-08-01,UTR00000060
BNK-0014,NEFT/RZP26000015/Vega Software Solutions,32746.83,2026-08-30,UTR00000014
BNK-0011,NEFT/RZP26000012/Sundaram Textiles,34249.39,2026-09-07,UTR00000011
BNK-0059,NEFT/RZP26000060/Orbit Foods,36292.15,2026-09-10,UTR00000059
BNK-0024,NEFT/RZP26000024/Prime Consulting LLP,14453.23,2026-09-05,UTR00000024
BNK-0046,NEFT/RZP26000047/Acme Retail Pvt Ltd,21304.8,2026-09-06,UTR00000046
BNK-0028,NEFT/RZP26000028/Nimbus Traders,19108.37,2026-09-06,UTR00000028
BNK-0007,NEFT/RZP26000008/Acme Retail Pvt Ltd,19854.56,2026-08-04,UTR00000007
BNK-0003,NEFT/RZP26000002/Orbit Foods,56376.75,2026-08-03,UTR00000003
BNK-0038,NEFT/RZP26000039/PART1/Nimbus Traders,24892.93,2026-09-04,UTR00000038
BNK-0012,NEFT/RZP26000013/Nimbus Traders,64363.59,2026-08-12,UTR00000012
BNK-0017,NEFT/RZP26000018/Orbit Foods,38839.65,2026-08-11,UTR00000017
